"trt","climate","soil","sterile","tea"
1,"it","it",0,"none"
2,"it","it",1,"none"
3,"it","it",1,"it"
4,"it","it",1,"sw"
5,"it","sw",0,"none"
6,"it","sw",1,"none"
7,"it","sw",1,"sw"
8,"it","sw",1,"it"
9,"it","peat",1,"it"
10,"it","peat",1,"sw"
11,"it","peat",1,"none"
12,"sw","it",0,"none"
13,"sw","it",1,"none"
14,"sw","it",1,"it"
15,"sw","it",1,"sw"
16,"sw","sw",0,"none"
17,"sw","sw",1,"none"
18,"sw","sw",1,"sw"
19,"sw","sw",1,"it"
20,"sw","peat",1,"it"
21,"sw","peat",1,"sw"
22,"sw","peat",1,"none"
